Marital_status,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_HOUSE_YRS,Age_band,Total_EXP
1,2,1,38,35,19,14,2,22
1,2,0,37,238,25,13,3,31
1,2,0,37,145,28,12,4,17
1,2,0,43,103,28,13,0,4
1,2,1,28,175,0,13,2,12
1,2,1,6,196,2,12,3,15
1,2,0,43,89,28,13,3,18
1,1,0,22,94,25,13,1,32
1,2,0,4,168,28,10,1,12
1,2,0,35,268,11,13,2,12
1,2,0,8,181,28,10,3,16
1,2,0,7,86,1,13,1,8
1,2,0,50,227,14,11,3,20
1,2,0,31,17,19,10,0,31
1,2,0,45,18,25,10,3,6
0,2,0,18,301,11,11,2,6
1,2,0,47,201,11,13,0,14
1,2,1,39,246,10,13,1,17
1,2,0,47,167,12,14,0,16
1,0,1,42,72,0,11,2,20
1,2,0,25,205,14,11,4,17
0,2,1,16,154,23,10,2,11
1,2,0,34,299,22,11,2,4
0,2,0,48,169,22,14,3,21
1,2,0,25,126,13,11,0,6
1,2,0,16,241,4,14,1,22
1,2,1,29,98,6,14,1,14
1,2,0,47,305,14,11,3,28
1,2,1,20,172,25,13,1,21
1,2,0,20,168,28,10,1,16
1,2,0,36,174,19,14,3,31
1,2,1,8,186,25,12,3,12
0,2,1,14,76,2,11,0,6
1,2,1,26,153,0,13,2,2
1,2,1,33,60,20,14,1,6
1,2,0,26,236,14,14,4,2
1,2,0,20,38,11,11,2,12
1,2,0,24,10,26,14,3,27
1,2,0,6,232,14,11,1,6
1,2,0,22,285,23,11,2,31
1,2,0,45,282,5,11,4,13
1,2,0,9,115,25,14,2,12
1,2,0,16,77,11,14,1,14
1,2,0,32,314,0,10,1,10
0,2,0,19,250,17,11,0,6
1,2,1,38,116,27,13,2,14
0,2,0,27,1,24,12,1,2
1,2,0,28,264,23,12,1,19
1,2,0,26,226,14,11,3,26
1,2,1,48,29,28,10,4,25
1,2,0,23,108,0,12,2,21
1,2,0,29,225,7,11,0,0
1,2,1,8,68,14,10,2,32
0,2,0,44,232,14,10,3,2
1,2,0,16,206,28,12,3,16
1,2,0,42,166,12,14,4,24
1,2,1,37,171,14,14,1,12
1,2,1,37,264,23,10,0,14
1,2,0,21,57,28,12,2,18
1,2,0,11,0,0,12,2,22
1,2,0,22,247,25,12,3,27
1,2,0,24,201,11,12,0,6
1,2,1,31,78,27,12,2,11
1,2,0,1,12,0,12,0,8
1,2,1,35,200,2,11,3,2
1,2,1,12,225,7,14,4,12
1,2,0,38,202,6,10,1,6
1,2,0,7,155,13,12,3,30
1,2,0,42,273,13,14,3,14
1,2,0,3,109,0,13,1,22
1,2,1,36,260,14,14,1,10
1,2,0,15,144,14,14,0,4
1,2,0,39,33,28,11,4,2
1,2,1,36,104,25,14,4,32
0,2,0,43,101,25,12,4,22
1,2,0,33,121,28,10,3,16
0,2,0,35,300,22,13,1,4
1,2,1,2,165,20,12,3,23
0,2,0,33,255,25,11,4,18
1,2,0,2,85,14,14,1,14
0,2,0,32,282,5,13,2,21
1,2,0,18,59,11,13,3,6
1,2,1,0,128,20,11,3,27
0,2,0,46,297,22,13,0,22
0,2,1,27,225,7,14,1,29
1,2,0,19,66,2,12,2,22
1,2,1,28,61,4,13,1,14
1,2,1,13,240,28,10,0,31
1,2,1,29,34,25,11,2,6
1,1,0,50,169,22,11,0,25
1,2,0,20,29,28,12,1,18
1,2,0,38,132,2,11,1,14
1,2,0,0,192,25,14,1,20
1,2,0,40,287,0,12,3,10
1,2,0,34,262,14,13,2,0
1,2,1,40,81,10,11,2,33
0,2,0,46,297,22,13,0,22
1,2,0,18,159,2,11,3,10
1,2,0,42,225,7,12,4,21
1,2,0,7,113,2,11,4,25
1,2,0,45,83,10,10,3,13
1,0,0,43,282,5,11,2,24
1,2,0,48,4,14,11,1,21
1,2,0,40,72,0,10,0,10
1,2,0,2,48,20,10,2,27
1,2,0,41,11,20,12,4,8
1,2,0,32,150,7,11,4,14
1,2,0,21,139,20,12,1,18
1,2,1,33,18,25,13,0,20
0,2,0,49,285,23,13,1,31
1,2,0,21,151,2,14,0,0
0,2,1,47,305,14,13,0,22
0,2,0,5,90,0,11,1,32
1,2,0,16,18,25,13,1,19
1,2,0,35,135,10,11,3,26
0,2,0,45,72,0,12,2,6
1,2,0,34,228,19,13,2,15
1,2,0,18,289,1,10,2,24
1,2,0,43,212,14,13,3,29
1,2,0,4,168,28,10,1,12
1,2,0,47,90,0,13,4,18
1,2,1,4,56,11,10,2,16
1,1,1,49,13,7,13,0,6
1,2,1,31,151,2,12,0,8
1,2,1,13,157,25,12,4,23
1,2,0,15,144,14,14,0,4
1,2,1,43,56,11,14,1,25
1,2,0,37,238,25,13,3,31
1,2,0,3,116,27,13,0,15
1,0,0,30,295,1,14,2,28
1,2,0,21,159,2,10,0,4
1,2,0,23,53,13,11,2,12
1,2,1,3,93,7,13,3,2
1,2,1,11,157,25,12,2,2
1,2,0,50,305,14,13,4,21
1,2,0,11,11,20,11,2,23
1,2,1,3,302,20,10,3,12
1,2,0,49,43,5,11,1,2
1,2,0,34,91,22,14,1,14
1,2,0,44,90,0,10,2,18
1,2,1,40,216,25,10,4,4
1,2,0,6,91,22,13,1,18
0,2,0,36,84,0,13,1,29
1,2,1,50,117,10,10,1,14
1,2,1,16,278,28,10,2,12
1,2,0,14,44,20,10,4,27
1,2,1,6,76,2,14,3,11
1,2,0,23,214,5,10,4,10
1,2,0,21,39,28,10,2,20
1,2,0,46,179,23,12,4,23
1,2,0,3,176,0,14,2,14
1,2,0,24,60,20,12,1,2
1,1,0,27,187,10,10,0,24
1,2,0,25,5,16,11,2,21
0,2,0,28,307,25,13,1,6
1,2,0,17,168,28,11,2,26
1,2,0,30,76,2,11,4,21
1,2,0,18,159,2,11,3,10
0,2,1,17,151,2,10,3,27
1,2,0,25,192,25,10,0,24
1,2,0,45,241,4,11,4,14
1,2,0,34,118,0,10,1,10
1,2,0,41,312,0,11,2,22
1,2,0,15,56,11,11,2,30
1,2,0,16,170,0,13,1,25
1,2,1,26,93,7,13,0,22
1,2,0,26,48,20,13,0,23
1,2,0,14,264,23,13,4,14
1,2,0,2,70,22,10,1,31
1,2,1,1,286,0,11,0,23
1,2,0,14,188,25,14,4,16
1,2,1,47,207,14,12,3,4
1,2,1,43,174,19,10,2,16
1,2,0,32,228,19,12,0,11
1,2,1,34,133,9,14,3,4
1,2,0,15,240,28,14,0,2
1,2,0,25,146,25,14,1,12
1,2,1,4,275,2,14,3,30
1,2,1,36,191,23,13,3,26
1,2,0,46,188,25,14,3,28
1,2,0,34,271,1,14,4,0
1,2,0,24,44,20,11,1,14
1,2,0,0,0,0,13,3,19
1,0,0,34,218,0,12,1,16
1,2,0,37,243,6,11,3,17
1,2,0,47,95,25,10,4,16
1,2,1,16,116,27,14,0,24
1,2,1,22,300,22,14,0,8
1,2,0,37,254,13,11,0,9
1,2,0,6,247,25,13,3,30
1,2,1,49,269,13,11,1,2
1,2,1,14,80,5,13,2,2
1,2,1,12,177,28,14,4,12
1,2,0,29,137,2,11,3,13
1,2,1,48,134,6,12,2,30
1,2,1,27,300,22,12,3,16
1,2,0,46,48,20,11,1,2
1,2,1,10,77,11,11,3,6
1,1,1,28,91,22,14,3,15
1,2,1,15,66,2,12,1,26
1,1,1,50,92,25,13,4,22
1,2,1,14,16,14,11,1,24
1,2,0,40,72,0,10,0,10
1,2,0,13,33,28,10,0,12
1,2,1,13,43,5,13,3,12
1,2,0,36,129,19,14,0,2
1,2,1,31,270,20,13,3,6
0,2,0,44,272,28,11,2,26
1,1,0,49,7,14,11,2,16
1,2,0,25,69,2,14,3,21
1,2,0,24,94,25,14,1,0
1,2,1,43,56,11,14,1,25
1,2,0,8,12,0,11,4,12
0,2,0,4,43,5,14,0,18
1,2,1,28,71,28,14,3,12
0,2,1,37,173,25,13,2,33
1,2,0,22,298,0,12,4,29
1,2,1,30,149,23,11,1,18
1,2,1,47,40,17,12,0,0
1,2,1,40,75,2,14,1,6
1,2,0,36,257,22,10,3,25
1,2,1,19,176,0,10,3,23
1,2,0,40,21,0,10,3,2
1,2,1,13,257,22,10,1,6
1,1,1,38,139,20,10,3,2
1,2,0,6,31,28,10,2,4
1,2,0,15,147,22,11,3,12
1,2,0,26,271,1,11,4,16
1,2,0,5,16,14,12,0,10
1,2,0,35,251,13,11,0,20
1,2,1,4,242,0,13,4,10
1,2,0,47,106,11,14,1,10
1,2,1,43,84,0,14,3,24
1,2,0,19,271,1,12,2,6
1,2,0,29,277,7,13,0,22
1,2,0,43,280,0,10,3,22
1,2,0,45,28,25,14,2,2
1,2,0,14,303,11,11,4,6
1,2,1,25,249,13,12,2,17
1,2,1,43,148,5,13,2,23
1,2,1,12,254,13,13,1,22
1,2,0,11,207,14,13,2,30
1,2,1,12,154,23,14,4,20
1,2,1,39,64,25,13,4,15
1,2,0,8,124,14,13,3,20
1,2,0,11,180,28,14,3,20
0,2,0,10,28,25,12,4,21
1,2,0,44,33,28,10,2,4
1,2,0,8,198,2,13,1,11
1,2,0,44,71,28,11,0,24
1,2,0,46,79,2,10,1,13
1,2,0,10,286,0,14,4,8
1,2,0,20,55,14,14,2,0
1,2,1,34,205,14,13,1,0
1,2,0,40,296,22,12,0,30
1,0,0,28,161,14,11,1,14
1,2,0,31,247,25,10,0,4
1,2,0,32,107,13,13,3,14
1,2,1,30,187,10,13,2,28
1,2,1,35,85,14,13,2,4
1,2,0,8,221,20,11,3,26
1,2,0,36,36,2,13,0,16
1,2,0,11,143,0,11,1,28
1,2,1,26,157,25,12,0,16
0,2,1,46,284,6,12,0,18
1,2,1,43,82,13,12,3,15
1,2,1,22,51,14,11,0,2
1,2,0,4,312,0,12,2,8
1,2,0,46,201,11,13,0,23
1,2,0,49,90,0,12,2,18
1,2,1,50,222,22,11,3,20
1,2,0,26,312,0,13,2,12
1,2,0,8,116,27,12,0,23
1,2,0,1,193,25,10,1,21
1,2,0,6,88,4,10,3,20
1,0,0,46,14,14,11,1,8
1,1,0,39,205,14,11,2,24
1,2,0,5,207,14,12,3,26
1,2,0,15,193,25,11,2,18
1,2,0,39,73,22,11,3,14
0,2,0,16,69,2,12,2,30
1,2,0,31,125,15,12,0,14
1,2,1,6,6,20,10,0,23
1,2,0,0,133,9,11,1,18
1,2,0,5,217,28,12,3,0
1,1,0,36,38,11,10,1,26
1,2,1,5,268,11,13,4,26
1,2,0,14,60,20,10,0,4
1,2,0,43,26,22,12,3,8
1,2,0,48,306,28,10,3,0
1,1,0,17,35,19,14,3,22
1,2,0,14,310,14,13,0,0
1,2,0,45,71,28,14,3,2
1,2,1,24,205,14,12,1,0
1,2,0,1,82,13,10,1,2
1,2,0,14,82,13,11,3,2
1,2,0,18,102,10,10,1,4
1,2,1,39,182,14,13,2,8
1,2,1,4,262,14,11,3,12
1,2,0,0,267,8,13,3,9
0,2,1,33,191,23,10,1,30
1,1,0,10,112,13,14,0,29
1,2,0,27,231,10,14,4,25
1,2,0,45,113,2,13,3,24
1,2,0,2,61,4,13,3,16
1,2,0,32,67,3,14,4,26
1,2,0,29,85,14,14,3,19
1,2,0,44,183,11,13,1,26
1,2,1,45,49,0,13,2,16
1,2,0,42,289,1,14,4,26
1,2,0,48,93,7,12,2,17
1,2,1,27,125,15,13,0,26
0,2,0,9,101,25,14,2,16
1,2,1,30,46,6,11,1,15
1,2,0,47,150,7,12,3,14
1,0,0,47,262,14,13,2,14
1,2,0,5,308,6,14,1,18
1,2,0,8,146,25,12,3,29
1,2,1,11,199,25,10,2,28
0,2,0,47,314,0,11,3,10
1,2,0,42,35,19,12,0,34
1,2,0,3,105,0,14,1,31
1,1,0,43,119,11,14,3,0
0,2,0,9,89,28,14,1,9
1,2,1,30,70,22,14,1,15
1,2,1,27,15,22,13,2,29
1,2,0,30,213,0,13,0,16
1,2,1,22,119,11,10,3,34
1,2,0,13,136,25,13,2,12
1,2,0,1,6,20,13,1,28
1,2,0,31,214,5,14,3,13
1,1,1,5,141,6,12,2,30
0,2,0,44,57,28,10,0,18
0,2,1,1,173,25,14,2,26
1,2,1,9,246,10,14,1,11
0,2,1,24,265,28,13,2,6
1,2,0,21,197,14,12,0,13
1,2,0,31,44,20,13,0,14
1,2,0,42,298,0,12,1,16
0,0,1,48,185,25,11,0,8
1,2,0,32,213,0,10,2,18
0,2,0,7,5,16,12,1,10
1,2,0,11,180,28,14,3,20
1,2,1,15,95,25,12,1,13
1,2,0,10,242,0,12,1,16
1,2,1,21,309,25,14,0,14
0,2,1,5,28,25,11,1,29
1,2,1,30,70,22,14,1,15
1,2,1,22,101,25,13,3,33
1,2,0,15,216,25,11,1,13
1,2,1,47,202,6,11,2,13
1,2,0,16,140,1,12,2,12
1,2,0,37,80,5,11,2,31
1,2,1,4,286,0,10,4,14
1,2,0,12,300,22,11,3,10
1,2,0,8,44,20,12,0,20
1,2,0,32,300,22,11,3,14
1,2,0,40,103,28,10,0,4
1,2,0,22,34,25,12,1,24
1,2,0,22,218,0,14,4,16
1,2,1,15,240,28,14,3,24
1,2,0,50,162,28,14,1,21
1,2,1,38,159,2,11,4,14
1,2,1,17,241,4,12,2,22
1,2,0,32,195,13,10,0,4
1,2,1,23,281,9,13,4,8
1,2,0,29,103,28,13,4,20
1,2,0,47,56,11,12,3,20
1,2,1,48,314,0,11,4,28
0,2,0,22,232,14,13,2,21
1,2,0,12,279,20,10,0,12
1,2,0,1,219,25,10,1,13
1,2,0,29,157,25,13,1,20
1,2,0,12,307,25,12,0,30
1,2,0,21,144,14,11,3,10
1,2,0,34,74,17,12,0,22
0,2,0,49,285,23,13,1,31
1,2,1,35,197,14,14,2,6
0,1,0,32,77,11,13,0,2
1,2,0,20,73,22,13,0,18
1,0,0,6,138,25,13,0,28
1,1,0,11,251,13,13,2,12
1,2,0,36,218,0,10,1,21
1,2,1,32,289,1,13,2,20
1,2,1,27,6,20,13,2,10
0,2,0,26,267,8,10,0,8
1,0,0,46,14,14,11,1,8
1,2,1,40,229,2,11,1,22
1,2,1,44,203,1,13,1,4
1,2,1,37,292,12,14,1,0
1,2,0,32,113,2,14,1,0
1,2,0,33,162,28,13,4,23
1,2,0,36,211,14,12,3,20
1,1,0,39,34,25,13,0,17
1,2,1,41,180,28,14,3,12
1,2,1,10,144,14,13,1,12
1,2,1,7,95,25,12,0,0
1,2,0,29,146,25,10,0,32
1,0,0,50,109,0,12,1,30
1,2,1,43,54,17,11,0,25
1,2,0,11,121,28,12,1,4
1,2,0,33,8,12,14,0,25
1,2,0,49,43,5,11,1,2
1,2,0,14,160,12,14,4,0
1,2,1,26,5,16,14,1,22
0,2,0,45,43,5,10,1,29
0,2,0,8,256,2,12,1,12
1,1,1,2,262,14,13,3,18
1,2,0,50,212,14,14,0,19
1,2,1,31,198,2,11,2,28
1,2,0,7,12,0,12,1,17
1,2,0,5,249,13,14,1,26
1,1,1,23,177,28,10,0,29
1,2,0,37,127,13,14,2,14
1,2,0,21,252,7,12,0,19
1,2,1,27,305,14,12,1,21
1,2,0,32,62,10,12,0,24
1,2,1,11,234,0,13,3,23
1,2,0,4,265,28,14,0,18
1,2,0,30,68,14,12,2,30
1,2,1,8,85,14,13,4,12
1,2,0,49,218,0,12,2,10
1,2,0,19,63,1,12,2,29
1,2,0,5,217,28,12,3,0
1,2,0,32,267,8,13,0,6
1,2,1,7,92,25,10,3,18
1,2,0,23,28,25,11,3,6
1,2,0,28,285,23,10,4,4
1,0,0,15,123,23,14,1,4
1,2,0,9,244,28,12,3,16
1,2,0,34,300,22,12,0,14
1,2,1,28,146,25,14,3,2
1,1,1,25,179,23,13,2,4
1,2,0,17,40,17,14,2,10
0,2,1,43,210,0,13,0,15
1,2,0,28,190,14,11,2,13
1,2,0,8,155,13,10,3,19
1,2,0,9,281,9,11,0,14
1,2,1,19,300,22,13,2,16
1,2,0,6,200,2,11,0,15
1,2,0,31,315,23,14,0,4
1,2,1,39,273,13,11,1,6
1,2,0,24,144,14,14,0,23
0,1,1,30,294,12,11,1,23
1,2,0,44,132,2,11,0,24
1,2,1,22,70,22,10,0,23
1,1,0,35,276,14,13,4,9
1,2,0,49,9,25,13,1,13
1,2,1,49,87,22,14,0,15
1,2,1,45,134,6,12,3,0
1,2,0,22,284,6,11,2,31
1,2,0,40,193,25,14,3,23
1,0,0,26,300,22,14,1,9
1,2,1,6,71,28,11,1,22
0,2,1,42,115,25,12,3,25
1,2,0,25,160,12,10,3,12
1,2,0,44,8,12,14,1,28
1,2,0,15,179,23,13,3,8
1,2,0,40,314,0,12,0,0
1,2,0,39,118,0,13,2,25
1,2,0,7,192,25,14,2,12
0,2,0,18,139,20,10,4,26
1,2,0,48,209,5,10,1,12
0,2,1,26,156,28,11,3,9
1,2,0,15,217,28,14,0,28
1,2,0,0,199,25,14,2,28
0,2,0,22,224,28,13,3,10
0,2,1,34,276,14,10,2,20
1,2,0,28,2,25,14,0,30
1,2,1,50,14,14,11,0,0
1,2,1,34,267,8,13,1,22
1,2,1,3,304,13,11,1,23
1,2,0,38,61,4,12,1,12
1,2,0,19,146,25,14,2,26
1,2,0,39,40,17,11,1,8
1,2,1,13,313,0,12,3,8
1,2,0,23,122,11,13,4,4
0,2,1,14,169,22,12,4,20
1,2,0,7,113,2,11,4,25
1,0,0,8,270,20,10,2,2
1,2,0,40,133,9,12,1,22
1,2,1,44,15,22,11,1,26
1,2,0,39,308,6,12,1,33
1,2,0,3,50,13,13,3,20
1,2,0,16,136,25,10,0,19
1,2,0,42,91,22,12,4,13
1,0,0,46,262,14,14,2,2
1,0,0,10,192,25,11,3,17
1,2,0,10,236,14,14,4,23
1,2,1,15,240,28,14,3,24
1,2,1,22,234,0,12,0,26
1,2,0,18,239,11,12,4,12
1,2,0,11,205,14,13,1,10
1,2,0,37,126,13,11,3,16
1,2,0,44,71,28,11,0,24
1,2,1,28,266,25,14,0,18
1,1,0,47,42,2,13,3,2
1,2,0,16,150,7,13,3,17
1,2,0,42,234,0,10,4,13
1,2,1,8,115,25,14,0,21
1,1,0,10,112,13,14,0,29
1,2,0,13,23,28,13,1,8
0,2,1,15,229,2,11,0,21
1,2,0,18,212,14,14,1,12
1,2,0,8,137,2,13,0,17
1,2,0,9,3,6,11,2,14
1,2,0,39,138,25,14,1,21
1,2,0,14,160,12,14,4,0
1,0,1,43,187,10,13,3,28
1,1,0,41,63,1,14,4,4
1,2,0,43,111,1,13,4,22
1,2,1,28,79,2,10,1,25
1,2,1,43,52,7,14,2,27
1,2,1,22,89,28,14,1,20
1,2,0,20,99,21,13,1,19
1,2,0,18,189,6,10,3,25
1,2,1,12,103,28,13,1,0
1,2,0,5,47,4,10,4,0
1,2,0,32,301,11,14,1,20
0,2,0,10,139,20,13,3,28
0,2,0,5,54,17,11,1,21
1,2,1,31,160,12,10,1,21
1,2,1,40,127,13,10,4,4
1,2,0,27,70,22,13,0,18
1,2,0,40,87,22,14,3,15
1,2,1,31,69,2,13,3,8
1,2,1,31,133,9,14,3,24
1,2,1,12,157,25,14,3,4
1,2,0,34,175,0,13,1,0
1,2,0,45,153,0,10,3,23
1,2,0,30,296,22,11,0,4
1,2,0,27,275,2,14,0,16
1,2,0,18,4,14,10,1,2
1,2,0,46,217,28,12,0,16
1,2,1,22,154,23,10,0,30
1,2,0,0,139,20,14,3,14
1,2,0,20,7,14,14,2,24
1,2,0,18,7,14,12,2,4
1,2,1,43,276,14,13,1,8
1,2,1,46,197,14,12,4,18
1,2,0,26,253,17,14,0,23
1,2,0,50,36,2,13,1,10
1,2,0,47,130,14,11,2,22
1,2,1,44,45,28,13,2,6
0,1,0,2,269,13,13,0,21
1,2,0,34,115,25,13,1,21
1,2,1,13,43,5,13,3,12
1,2,0,9,310,14,11,3,14
1,2,0,44,78,27,11,1,0
1,2,0,4,154,23,14,0,19
1,2,0,27,283,6,13,0,23
1,2,0,49,293,22,12,3,18
1,2,1,39,121,28,10,0,20
1,2,0,10,306,28,12,0,18
1,2,0,5,63,1,11,4,25
1,2,0,27,218,0,12,0,2
1,2,0,36,90,0,12,2,14
1,2,1,49,250,17,14,1,10
1,2,1,28,99,21,12,2,8
1,2,0,14,206,28,10,4,6
1,2,1,26,30,11,13,3,20
0,2,0,26,244,28,13,4,2
1,2,0,47,262,14,11,0,31
1,2,0,48,212,14,11,2,12
1,2,1,45,290,14,12,1,2
1,2,1,35,115,25,14,3,4
1,2,1,40,27,25,12,1,15
1,2,0,15,61,4,14,2,14
1,2,1,23,291,22,13,4,28
1,2,0,1,216,25,13,0,24
1,2,0,21,79,2,13,3,0
1,2,1,28,211,14,14,0,34
1,2,0,29,274,7,13,1,21
1,2,0,32,213,0,10,2,18
1,2,0,47,178,22,10,2,12
1,2,1,13,132,2,12,4,24
1,2,1,36,86,1,10,0,27
1,2,0,8,243,6,12,0,8
1,2,0,27,102,10,10,3,10
1,2,1,16,169,22,13,0,2
1,2,1,41,43,5,11,2,27
1,2,0,28,301,11,10,0,22
1,2,0,34,310,14,12,0,8
1,2,0,3,199,25,13,0,26
1,2,0,25,265,28,11,0,2
1,2,1,8,192,25,12,0,9
0,2,1,28,253,17,11,3,22
1,2,0,16,181,28,11,3,24
1,2,0,50,50,13,13,2,4
1,2,1,37,27,25,13,0,2
1,2,1,48,301,11,14,2,27
1,2,0,24,27,25,10,1,29
0,2,0,0,207,14,10,2,23
1,2,0,36,113,2,14,4,14
0,2,0,27,15,22,13,2,12
0,2,0,5,54,17,11,1,21
1,2,0,2,174,19,10,0,4
1,2,0,4,182,14,14,2,12
1,2,1,34,169,22,12,2,23
1,2,0,28,91,22,13,2,10
1,2,0,32,292,12,13,1,8
1,2,1,11,162,28,12,1,4
1,2,1,23,91,22,13,1,22
1,2,0,21,73,22,11,1,13
1,2,0,7,271,1,12,2,14
1,2,0,22,55,14,10,0,21
1,2,1,5,184,10,11,4,0
1,2,1,29,173,25,10,4,23
1,2,1,41,312,0,14,2,25
1,2,0,38,118,0,14,2,24
1,1,1,9,48,20,11,4,20
1,2,0,37,50,13,11,2,2
1,2,0,19,67,3,14,0,23
1,2,0,14,260,14,13,2,21
1,2,0,8,29,28,12,3,23
0,2,1,44,168,28,10,2,26
1,2,0,8,119,11,14,0,16
1,2,1,15,196,2,11,1,26
1,2,0,10,285,23,10,0,16
1,2,0,50,162,28,14,1,21
1,2,0,32,82,13,13,4,2
1,1,0,5,225,7,13,2,17
1,2,0,3,199,25,13,0,26
1,1,0,44,268,11,13,3,20
1,2,0,33,104,25,10,2,11
1,2,1,32,133,9,11,2,13
1,2,0,18,250,17,14,0,4
1,2,1,40,296,22,14,3,24
1,2,0,44,97,6,14,0,12
1,2,0,47,55,14,14,0,24
1,2,0,23,90,0,12,3,12
1,2,0,44,81,10,12,3,16
1,2,0,31,44,20,13,0,14
1,2,0,32,110,7,11,3,7
1,2,0,36,306,28,13,3,12
1,2,0,41,226,14,13,0,12
1,2,0,47,90,0,13,4,18
1,2,0,25,251,13,14,3,12
1,2,0,12,129,19,10,0,30
1,2,0,11,134,6,11,1,10
1,2,1,11,69,2,12,0,31
1,1,0,2,240,28,13,3,4
1,2,1,50,117,10,10,1,14
1,2,0,32,195,13,10,0,4
1,2,0,10,312,0,14,3,4
1,2,0,1,6,20,14,0,20
1,2,1,26,284,6,13,2,7
1,2,1,46,180,28,11,2,24
1,2,0,40,63,1,13,2,23
1,2,1,35,85,14,13,2,4
1,2,0,46,239,11,10,0,16
1,2,1,40,2,25,11,3,22
1,2,0,8,212,14,10,1,13
1,2,1,46,269,13,14,3,10
1,2,1,29,172,25,14,0,16
1,2,0,9,155,13,11,4,16
1,2,0,1,253,17,12,3,32
0,2,1,17,34,25,11,0,18
1,2,1,25,303,11,10,0,27
1,2,0,0,128,20,13,4,10
1,2,0,27,24,14,11,2,6
1,2,0,17,62,10,12,2,19
1,1,0,38,138,25,13,0,23
1,2,0,0,140,1,14,2,14
1,2,0,40,46,6,11,4,28
1,2,0,14,278,28,12,4,14
1,2,0,17,190,14,10,2,4
1,0,0,2,59,11,11,2,20
1,2,1,28,131,14,11,4,0
1,2,1,26,154,23,11,1,17
1,2,0,1,68,14,10,1,24
1,1,0,26,115,25,12,4,4
1,1,0,12,152,13,14,2,25
1,2,0,6,81,10,13,1,2
1,2,1,13,78,27,10,4,6
1,2,0,24,234,0,11,0,28
1,2,0,20,175,0,10,3,18
1,2,0,28,168,28,10,3,12
1,2,0,30,244,28,11,0,16
1,2,1,26,157,25,12,0,16
1,2,0,2,14,14,11,3,20
1,2,0,31,57,28,14,3,23
0,2,0,48,316,7,14,3,20
1,2,0,2,8,12,11,3,27
1,2,0,33,22,2,11,1,21
